,CANT,DESCR,SUBTOTAL_PARTIDA
0,1,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V",434.48
1,1,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT",1264.05
2,7,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT,3861.29
3,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,140.0
4,2,BAN P INOX 115MMX235MM 1000W 127V T/TOR,344.83
5,2,BAN P INOX 55MMX235MM 450W 127V T/TOR,474.14
6,1,REPARACION DE BATIDOR 16.6KW 440V,14000.0
7,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,283.5
8,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
9,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
10,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
11,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
12,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
13,1,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA,1485.25
14,1,BC INOX 114MMØX165MM 1500W 230V C/ALLEN,2095.25
15,5,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP",481.25
16,2,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",1542.56
17,3,"TER J 3/16""ØX2"" EXT.2MT CON-1/2"" NPT",375.0
18,5,BAN MICA 120mmØx50mm 850W 440V TTORNILLO,4106.5
19,7,BAN MICA Ø120MM X 50 MM 700W 440V T TOR,5749.1
20,3,BAN INOX 36MMØX25MM 150W 240V EXT30CM,1489.05
21,3,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",2815.59
22,1,PT-100 4MMØX10CM EXT 5MT TEFLON 2HILOS,718.52
23,1,"PT-100 DE 1/4""ØX14.5CM EXT 5MT CONECTOR",898.25
24,2,REPARACION DE TERMOPAR,3000.0
25,3,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",5544.0
26,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",2425.0
27,6,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",2250.0
28,2,"PT-100 1/4""Øx60CMS CABEZA Y BLOCK 1/2""X",4010.92
29,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX,38979.6
30,6,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V",5136.22
31,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX,38979.6
32,1,"TUB INOX 1/4""ØX6"" 1675W 120V PARRILLA",601.23
33,10,"TER J 3/16""ØX1"" EXT.2MTS MALLA Z/ESPADA",1505.0
34,10,"TER K 3/16""ØX1"" EXT.2MT RES/MALLA INOX",2159.6
35,1,REPARACION DE SELLADORA PCS-300,382.1
36,1,REPARACION DE SELLADORA PCS-200,485.23
37,1,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0
38,40,"CART INOX 3/8""Øx8"" 340W, 220V CABLE 35CM",10384.0
39,1,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53
40,3,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L""",38160.0
41,9,"TUB INOX 7/16""ØX80CM 1200W 127V T/TOR",5572.89
42,10,BOB 8020  CAL.19 79MMØX750MM GAZA 40CM,5050.8
43,8,"TUB INOX 5/16""ØX50CM 4000W240V ""J"" 1""NPT",10624.0
44,2,"TER J 3/16""ØX50MM TRANS 1/4""ØX4MM EXT3MT",1198.1
45,1,"TUB INOX. 5/16""Øx1 MTS 900W, 127V. U TOR",803.0
46,2,"TUB INOX 7/16""ØX410MM 2500W220V CIRCULAR",1570.5
47,2,"TUB INOX 7/16""ØX36.4CM 2500W220V ""M ESP""",1231.7
48,4,"TUB INOX 5/16""Øx64CMS 700W220V.",1540.8
49,1,"TUB INOX 5/16""ØX111MM 2500W220V ESPIRAL",2150.0
50,5,"TUB. INOX. 5/16 Øx615mm. 2000W 440V ""U""""",2655.0
51,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0
52,1,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,500.0
53,2,"TUB INOX 5/16""ØX110MM 1500W 127V ESPIRAL",1671.0
54,2,"TUB INOX 5/16""ØX110MM 1500W 240V ESPIRAL",1791.0
55,1,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V CHI",1264.25
56,1,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V GDE",1264.25
57,4,BOB 8020 CAL.19 1612W 127V CER-8CANALES,2420.0
58,1,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7
59,2,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",1116.28
60,2,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",1116.28
61,3,BC PLANA INOX 52MMX60CM 750W 220V T/TOR,4236.0
62,3,BC PLANA INOX 51MMX490MM 1000W 220V T/TO,3564.0
63,6,BAN P COMUN 74MMX50CM 750W 220V T/TOR,3978.0
64,2,TIRA INOX 38MMX440MM 750W 230V T/TIPO H,991.6
65,8,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT",17420.0
66,2,BAN INOX 58MMØX30MM 200W 230V EX1MT ALLE,1010.46
67,4,BAN INOX 122MMØX50MM 750W460V EXT1MT STD,3940.4
68,4,"TUB INOX 7/16""ØX742MM U 20KW440V BRIDA6""",10577.12
69,2,BAN P COMUN 100CMX21MM 900W220V T/TOR,1044.0
70,1,BAN P INOX 28MMX128MM 125W 230V T/TOR,255.01
71,10,"TER K 3/16""ØX1 1/2"" EXT.7MT MALLA Z/ESPA",5512.5
72,1,BAN P A/COMUN 200MMx102MM 390W127V T/TOR,364.55
73,1,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",662.0
74,30,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",44259.0
75,3,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",2999.72
76,10,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,14500.0
77,6,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM,8700.0
78,6,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",8700.0
79,8,CARTUCHO 8MMØ X290MM 500W 220V,3320.0
80,10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,2720.0
81,2,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,2051.74
82,2,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,3174.5
83,2,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,5970.72
84,1,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V.",566.64
85,12,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",5178.0
